Draw_Date,Number_1,Number_2,Number_3,Number_4,Number_5,Mega_Ball,Multiplier,Original_Combination
02/25/2025,4,8,11,32,52,13,2.0,04 08 11 32 52 MB:13
02/21/2025,1,13,28,37,46,10,2.0,01 13 28 37 46 MB:10
02/18/2025,1,20,25,58,61,22,2.0,01 20 25 58 61 MB:22
02/14/2025,11,19,31,49,56,16,3.0,11 19 31 49 56 MB:16
02/11/2025,7,30,39,41,70,13,3.0,07 30 39 41 70 MB:13
02/07/2025,4,24,32,41,55,16,2.0,04 24 32 41 55 MB:16
02/04/2025,14,24,31,53,54,1,3.0,14 24 31 53 54 MB:1
01/31/2025,9,28,48,56,63,2,2.0,09 28 48 56 63 MB:2
01/28/2025,10,19,31,47,56,6,5.0,10 19 31 47 56 MB:6
01/24/2025,8,12,43,52,62,18,2.0,08 12 43 52 62 MB:18
01/21/2025,27,30,56,64,65,22,4.0,27 30 56 64 65 MB:22
01/17/2025,8,10,37,54,69,22,3.0,08 10 37 54 69 MB:22
01/14/2025,4,14,35,49,62,6,3.0,04 14 35 49 62 MB:6
01/10/2025,9,23,39,65,66,22,3.0,09 23 39 65 66 MB:22
01/07/2025,20,24,33,39,48,18,2.0,20 24 33 39 48 MB:18
01/03/2025,20,42,46,59,69,19,4.0,20 42 46 59 69 MB:19
12/31/2024,13,22,27,29,35,1,2.0,13 22 27 29 35 MB:1
12/27/2024,3,7,37,49,55,6,3.0,03 07 37 49 55 MB:6
12/24/2024,11,14,38,45,46,3,3.0,11 14 38 45 46 MB:3
12/20/2024,2,20,51,56,67,19,2.0,02 20 51 56 67 MB:19
12/17/2024,56,66,67,68,69,18,4.0,56 66 67 68 69 MB:18
12/13/2024,36,43,52,58,65,16,3.0,36 43 52 58 65 MB:16
12/10/2024,12,14,26,48,52,21,5.0,12 14 26 48 52 MB:21
12/06/2024,16,21,33,39,45,24,2.0,16 21 33 39 45 MB:24
12/03/2024,52,60,61,66,67,23,4.0,52 60 61 66 67 MB:23
11/29/2024,3,29,34,37,38,17,2.0,03 29 34 37 38 MB:17
11/26/2024,5,22,24,39,42,3,3.0,05 22 24 39 42 MB:3
11/22/2024,13,20,26,32,65,2,2.0,13 20 26 32 65 MB:2
11/19/2024,5,35,50,51,59,8,4.0,05 35 50 51 59 MB:8
11/15/2024,5,17,35,55,69,19,2.0,05 17 35 55 69 MB:19
11/12/2024,18,31,33,64,68,17,3.0,18 31 33 64 68 MB:17
11/08/2024,25,28,42,64,69,19,3.0,25 28 42 64 69 MB:19
11/05/2024,2,24,25,52,58,9,2.0,02 24 25 52 58 MB:9
11/01/2024,11,22,42,46,51,4,2.0,11 22 42 46 51 MB:4
10/29/2024,16,22,26,36,56,1,4.0,16 22 26 36 56 MB:1
10/25/2024,23,26,35,41,43,7,2.0,23 26 35 41 43 MB:7
10/22/2024,8,43,48,58,60,4,3.0,08 43 48 58 60 MB:4
10/18/2024,4,9,26,39,58,23,4.0,04 09 26 39 58 MB:23
10/15/2024,22,34,44,54,62,3,3.0,22 34 44 54 62 MB:3
10/11/2024,3,10,29,52,57,20,3.0,03 10 29 52 57 MB:20
10/08/2024,3,19,20,22,66,9,3.0,03 19 20 22 66 MB:9
10/04/2024,21,39,42,43,45,3,2.0,21 39 42 43 45 MB:3
10/01/2024,27,35,47,50,66,25,2.0,27 35 47 50 66 MB:25
09/27/2024,29,46,53,69,70,23,2.0,29 46 53 69 70 MB:23
09/24/2024,1,6,10,23,27,18,5.0,01 06 10 23 27 MB:18
09/20/2024,20,21,40,49,55,11,3.0,20 21 40 49 55 MB:11
09/17/2024,14,31,48,57,64,9,3.0,14 31 48 57 64 MB:9
09/13/2024,21,55,56,57,66,1,3.0,21 55 56 57 66 MB:1
09/10/2024,1,2,16,24,66,6,4.0,01 02 16 24 66 MB:6
09/06/2024,6,23,41,59,63,25,2.0,06 23 41 59 63 MB:25
09/03/2024,12,41,43,52,55,9,4.0,12 41 43 52 55 MB:9
08/30/2024,10,17,20,24,54,8,4.0,10 17 20 24 54 MB:8
08/27/2024,16,18,21,54,65,5,2.0,16 18 21 54 65 MB:5
08/23/2024,28,30,44,66,69,2,3.0,28 30 44 66 69 MB:2
08/20/2024,5,20,26,49,51,24,4.0,05 20 26 49 51 MB:24
08/16/2024,22,38,48,51,61,5,3.0,22 38 48 51 61 MB:5
08/13/2024,34,55,59,65,70,12,4.0,34 55 59 65 70 MB:12
08/09/2024,12,32,38,40,57,21,2.0,12 32 38 40 57 MB:21
08/06/2024,23,29,36,61,70,22,4.0,23 29 36 61 70 MB:22
08/02/2024,6,7,24,44,54,13,4.0,06 07 24 44 54 MB:13
07/30/2024,19,23,30,33,50,25,2.0,19 23 30 33 50 MB:25
07/26/2024,2,14,33,58,65,3,3.0,02 14 33 58 65 MB:3
07/23/2024,3,9,14,26,51,21,4.0,03 09 14 26 51 MB:21
07/19/2024,10,17,23,50,67,3,3.0,10 17 23 50 67 MB:3
07/16/2024,5,35,42,58,66,22,2.0,05 35 42 58 66 MB:22
07/12/2024,15,35,48,53,68,8,3.0,15 35 48 53 68 MB:8
07/09/2024,21,26,54,60,64,3,3.0,21 26 54 60 64 MB:3
07/05/2024,6,15,32,54,67,4,3.0,06 15 32 54 67 MB:4
07/02/2024,4,8,19,31,45,11,4.0,04 08 19 31 45 MB:11
06/28/2024,28,31,33,42,66,24,3.0,28 31 33 42 66 MB:24
06/25/2024,3,16,27,47,62,8,4.0,03 16 27 47 62 MB:8
06/21/2024,3,18,27,40,44,19,4.0,03 18 27 40 44 MB:19
06/18/2024,21,22,50,55,67,20,2.0,21 22 50 55 67 MB:20
06/14/2024,1,25,26,31,65,2,3.0,01 25 26 31 65 MB:2
06/11/2024,1,5,7,22,24,8,4.0,01 05 07 22 24 MB:8
06/07/2024,3,5,12,22,66,7,4.0,03 05 12 22 66 MB:7
06/04/2024,19,37,40,63,69,17,3.0,19 37 40 63 69 MB:17
05/31/2024,4,11,23,33,49,23,4.0,04 11 23 33 49 MB:23
05/28/2024,12,18,48,57,62,4,5.0,12 18 48 57 62 MB:4
05/24/2024,46,54,56,67,70,16,3.0,46 54 56 67 70 MB:16
05/21/2024,2,5,8,28,69,14,2.0,02 05 08 28 69 MB:14
05/17/2024,8,17,40,60,70,3,2.0,08 17 40 60 70 MB:3
05/14/2024,13,19,43,62,64,6,3.0,13 19 43 62 64 MB:6
05/10/2024,13,22,26,32,65,18,4.0,13 22 26 32 65 MB:18
05/07/2024,26,28,36,63,66,15,3.0,26 28 36 63 66 MB:15
05/03/2024,6,13,15,53,56,11,2.0,06 13 15 53 56 MB:11
04/30/2024,10,18,27,37,61,5,3.0,10 18 27 37 61 MB:5
04/26/2024,15,23,53,57,61,9,3.0,15 23 53 57 61 MB:9
04/23/2024,11,17,33,39,43,14,4.0,11 17 33 39 43 MB:14
04/19/2024,19,30,34,46,58,3,3.0,19 30 34 46 58 MB:3
04/16/2024,21,26,36,44,59,2,4.0,21 26 36 44 59 MB:2
04/12/2024,1,12,14,18,66,16,2.0,01 12 14 18 66 MB:16
04/09/2024,34,43,51,52,69,25,4.0,34 43 51 52 69 MB:25
04/05/2024,20,30,54,63,65,14,3.0,20 30 54 63 65 MB:14
04/02/2024,10,50,56,60,66,19,3.0,10 50 56 60 66 MB:19
03/29/2024,11,30,33,38,60,16,4.0,11 30 33 38 60 MB:16
03/26/2024,7,11,22,29,38,4,2.0,07 11 22 29 38 MB:4
03/22/2024,3,8,31,35,44,16,3.0,03 08 31 35 44 MB:16
03/19/2024,24,46,49,62,66,7,2.0,24 46 49 62 66 MB:7
03/15/2024,13,25,50,51,66,6,5.0,13 25 50 51 66 MB:6
03/12/2024,2,16,31,57,64,24,3.0,02 16 31 57 64 MB:24
03/08/2024,19,20,22,47,58,1,3.0,19 20 22 47 58 MB:1
03/05/2024,2,49,50,61,70,14,2.0,02 49 50 61 70 MB:14
03/01/2024,15,33,37,55,61,24,4.0,15 33 37 55 61 MB:24
02/27/2024,6,18,26,27,49,4,3.0,06 18 26 27 49 MB:4
02/23/2024,4,6,40,41,60,11,5.0,04 06 40 41 60 MB:11
02/20/2024,5,45,55,58,68,7,2.0,05 45 55 58 68 MB:7
02/16/2024,19,23,39,42,67,18,4.0,19 23 39 42 67 MB:18
02/13/2024,1,3,19,25,58,20,3.0,01 03 19 25 58 MB:20
02/09/2024,17,22,29,46,69,1,3.0,17 22 29 46 69 MB:1
02/06/2024,2,10,31,44,57,10,4.0,02 10 31 44 57 MB:10
02/02/2024,11,22,42,64,69,18,3.0,11 22 42 64 69 MB:18
01/30/2024,3,5,16,58,59,11,4.0,03 05 16 58 59 MB:11
01/26/2024,14,31,34,50,61,13,3.0,14 31 34 50 61 MB:13
01/23/2024,21,28,58,69,70,20,2.0,21 28 58 69 70 MB:20
01/19/2024,1,9,16,17,30,17,2.0,01 09 16 17 30 MB:17
01/16/2024,2,10,42,49,54,13,2.0,02 10 42 49 54 MB:13
01/12/2024,19,34,35,45,67,7,3.0,19 34 35 45 67 MB:7
01/09/2024,12,15,32,33,53,24,3.0,12 15 32 33 53 MB:24
01/05/2024,5,23,26,38,44,25,3.0,05 23 26 38 44 MB:25
01/02/2024,3,18,27,29,64,1,2.0,03 18 27 29 64 MB:1
12/29/2023,11,27,30,62,70,10,3.0,11 27 30 62 70 MB:10
12/26/2023,8,10,22,58,64,21,3.0,08 10 22 58 64 MB:21
12/22/2023,10,26,36,54,69,4,4.0,10 26 36 54 69 MB:4
12/19/2023,17,26,50,58,61,11,3.0,17 26 50 58 61 MB:11
12/15/2023,10,20,28,40,54,12,2.0,10 20 28 40 54 MB:12
12/12/2023,8,23,44,45,53,3,4.0,08 23 44 45 53 MB:3
12/08/2023,21,26,53,66,70,13,3.0,21 26 53 66 70 MB:13
12/05/2023,18,35,40,64,67,18,4.0,18 35 40 64 67 MB:18
12/01/2023,12,47,49,52,65,12,4.0,12 47 49 52 65 MB:12
11/28/2023,27,37,42,59,61,11,3.0,27 37 42 59 61 MB:11
11/24/2023,6,15,45,59,68,1,4.0,06 15 45 59 68 MB:1
11/21/2023,17,22,25,30,38,24,4.0,17 22 25 30 38 MB:24
11/17/2023,6,12,31,33,69,17,3.0,06 12 31 33 69 MB:17
11/14/2023,29,35,59,61,69,22,4.0,29 35 59 61 69 MB:22
11/10/2023,13,33,59,68,70,8,3.0,13 33 59 68 70 MB:8
11/07/2023,3,11,33,42,52,20,2.0,03 11 33 42 52 MB:20
11/03/2023,15,32,38,47,65,12,4.0,15 32 38 47 65 MB:12
10/31/2023,14,35,37,55,70,15,3.0,14 35 37 55 70 MB:15
10/27/2023,11,32,43,57,70,6,4.0,11 32 43 57 70 MB:6
10/24/2023,16,20,30,54,59,7,3.0,16 20 30 54 59 MB:7
10/20/2023,7,29,36,49,61,22,4.0,07 29 36 49 61 MB:22
10/17/2023,5,6,29,32,61,20,4.0,05 06 29 32 61 MB:20
10/13/2023,6,18,44,46,68,18,3.0,06 18 44 46 68 MB:18
10/10/2023,3,8,17,46,63,7,4.0,03 08 17 46 63 MB:7
10/06/2023,12,24,46,57,66,22,3.0,12 24 46 57 66 MB:22
10/03/2023,3,19,32,39,59,24,3.0,03 19 32 39 59 MB:24
09/29/2023,18,40,47,55,64,11,4.0,18 40 47 55 64 MB:11
09/26/2023,15,30,35,42,60,16,4.0,15 30 35 42 60 MB:16
09/22/2023,10,13,14,57,66,3,2.0,10 13 14 57 66 MB:3
09/19/2023,6,9,13,29,66,24,2.0,06 09 13 29 66 MB:24
09/15/2023,5,13,29,50,53,25,3.0,05 13 29 50 53 MB:25
09/12/2023,2,14,21,42,67,18,5.0,02 14 21 42 67 MB:18
09/08/2023,3,12,17,51,62,1,3.0,03 12 17 51 62 MB:1
09/05/2023,3,43,50,51,65,13,2.0,03 43 50 51 65 MB:13
09/01/2023,10,31,42,43,55,8,2.0,10 31 42 43 55 MB:8
08/29/2023,9,39,52,61,63,25,3.0,09 39 52 61 63 MB:25
08/25/2023,12,23,26,31,38,2,2.0,12 23 26 31 38 MB:2
08/22/2023,1,12,26,36,50,7,2.0,01 12 26 36 50 MB:7
08/18/2023,10,20,29,44,66,11,3.0,10 20 29 44 66 MB:11
08/15/2023,18,39,42,57,63,7,3.0,18 39 42 57 63 MB:7
08/11/2023,8,9,18,35,41,18,3.0,08 09 18 35 41 MB:18
08/08/2023,13,19,20,32,33,14,2.0,13 19 20 32 33 MB:14
