Draw_Date,Number_1,Number_2,Number_3,Number_4,Number_5,Powerball,Multiplier,Original_Combination
02/26/2025,28,48,55,60,62,20,2.0,28 48 55 60 62 20
02/24/2025,10,11,34,59,68,14,3.0,10 11 34 59 68 14
02/22/2025,7,18,22,50,65,15,2.0,07 18 22 50 65 15
02/19/2025,6,21,28,49,60,20,2.0,06 21 28 49 60 20
02/17/2025,4,44,47,52,57,9,4.0,04 44 47 52 57 09
02/15/2025,3,16,45,54,56,12,2.0,03 16 45 54 56 12
02/12/2025,21,32,36,45,49,18,2.0,21 32 36 45 49 18
02/10/2025,2,17,18,29,43,3,3.0,02 17 18 29 43 03
02/08/2025,23,44,57,60,62,9,2.0,23 44 57 60 62 09
02/05/2025,19,27,30,50,62,14,3.0,19 27 30 50 62 14
02/03/2025,12,37,47,54,60,17,3.0,12 37 47 54 60 17
02/01/2025,23,29,32,49,61,8,2.0,23 29 32 49 61 08
01/29/2025,8,12,31,33,38,18,3.0,08 12 31 33 38 18
01/27/2025,2,40,47,53,55,20,2.0,02 40 47 53 55 20
01/25/2025,8,15,17,53,66,14,3.0,08 15 17 53 66 14
01/22/2025,5,6,27,40,49,5,2.0,05 06 27 40 49 05
01/20/2025,15,16,32,47,54,6,3.0,15 16 32 47 54 06
01/18/2025,14,31,35,64,69,23,2.0,14 31 35 64 69 23
01/15/2025,8,41,52,53,58,7,3.0,08 41 52 53 58 07
01/13/2025,4,6,16,39,66,9,2.0,04 06 16 39 66 09
01/11/2025,3,6,32,37,65,4,3.0,03 06 32 37 65 04
01/08/2025,1,20,36,38,43,24,2.0,01 20 36 38 43 24
01/06/2025,17,34,46,66,67,14,2.0,17 34 46 66 67 14
01/04/2025,26,32,43,54,56,24,2.0,26 32 43 54 56 24
01/01/2025,6,12,28,35,66,26,3.0,06 12 28 35 66 26
12/30/2024,9,19,33,38,39,1,3.0,09 19 33 38 39 01
12/28/2024,6,31,51,54,55,12,2.0,06 31 51 54 55 12
12/25/2024,15,26,27,30,35,3,3.0,15 26 27 30 35 03
12/23/2024,22,42,44,57,64,18,2.0,22 42 44 57 64 18
12/21/2024,1,12,17,21,58,1,3.0,01 12 17 21 58 01
12/18/2024,6,15,18,33,49,7,2.0,06 15 18 33 49 07
12/16/2024,9,30,33,57,61,17,2.0,09 30 33 57 61 17
12/14/2024,12,17,23,52,67,1,2.0,12 17 23 52 67 01
12/11/2024,13,44,50,52,54,20,2.0,13 44 50 52 54 20
12/09/2024,35,37,40,45,51,24,2.0,35 37 40 45 51 24
12/07/2024,1,31,43,55,57,22,2.0,01 31 43 55 57 22
12/04/2024,1,23,25,28,61,13,2.0,01 23 25 28 61 13
12/02/2024,3,9,26,61,67,13,2.0,03 09 26 61 67 13
11/30/2024,4,24,29,39,63,25,4.0,04 24 29 39 63 25
11/27/2024,1,6,7,13,40,5,5.0,01 06 07 13 40 05
11/25/2024,5,35,45,60,63,12,2.0,05 35 45 60 63 12
11/23/2024,12,13,34,44,67,8,3.0,12 13 34 44 67 08
