Position,Number,Frequency
1,28,19
1,10,74
1,7,83
1,6,86
1,4,101
1,3,116
1,21,27
1,2,120
1,23,31
1,19,45
1,12,63
1,8,83
1,5,106
1,15,39
1,14,63
1,1,134
1,17,41
1,26,10
1,9,80
1,22,30
1,13,52
1,35,8
1,16,45
1,27,18
1,11,71
1,25,17
1,18,41
1,29,11
1,31,7
1,24,27
1,20,28
1,30,15
1,37,9
1,36,6
1,39,5
1,34,6
1,47,1
1,32,9
1,52,1
1,33,5
1,38,4
1,40,5
1,44,2
1,51,1
1,49,1
1,41,2
1,43,1
1,50,1
1,48,1
2,48,4
2,11,49
2,18,51
2,21,65
2,44,15
2,16,56
2,32,40
2,17,55
2,27,39
2,37,23
2,29,37
2,12,68
2,40,18
2,15,59
2,6,42
2,31,42
2,41,18
2,20,56
2,34,23
2,19,49
2,26,42
2,42,15
2,30,55
2,23,55
2,9,40
2,24,51
2,35,22
2,13,47
2,22,55
2,45,9
2,25,50
2,14,51
2,2,11
2,10,54
2,33,38
2,4,23
2,36,36
2,55,2
2,51,6
2,5,18
2,38,19
2,7,39
2,46,6
2,3,19
2,8,44
2,28,59
2,47,9
2,50,2
2,54,8
2,39,20
2,53,5
2,58,2
2,43,13
2,56,2
2,52,3
2,57,3
2,49,7
2,61,2
3,55,14
3,34,53
3,22,38
3,28,36
3,47,36
3,45,42
3,36,53
3,18,32
3,57,16
3,30,39
3,32,55
3,31,51
3,17,33
3,27,51
3,35,56
3,52,19
3,16,23
3,46,25
3,43,36
3,33,61
3,51,20
3,44,39
3,23,39
3,50,31
3,40,51
3,25,42
3,26,47
3,29,38
3,7,8
3,60,3
3,41,50
3,24,39
3,37,59
3,48,32
3,19,33
3,39,56
3,20,39
3,21,45
3,13,17
3,11,22
3,38,41
3,15,20
3,59,14
3,56,14
3,12,13
3,54,22
3,53,17
3,49,22
3,42,34
3,62,4
3,65,1
3,10,9
3,63,5
3,14,16
3,9,11
3,64,4
3,58,6
3,61,12
3,6,3
3,3,1
3,8,3
4,60,31
4,59,38
4,50,51
4,49,43
4,52,63
4,54,45
4,45,61
4,29,27
4,33,30
4,53,64
4,40,44
4,47,60
4,64,24
4,39,58
4,37,36
4,38,51
4,66,23
4,35,26
4,30,19
4,57,35
4,21,13
4,55,56
4,28,24
4,61,38
4,13,3
4,44,57
4,62,29
4,32,34
4,43,41
4,34,29
4,56,42
4,58,30
4,48,54
4,41,47
4,24,12
4,46,56
4,27,30
4,65,12
4,68,7
4,23,23
4,67,11
4,51,47
4,63,29
4,36,46
4,26,12
4,42,42
4,16,9
4,18,3
4,20,11
4,31,25
4,22,13
4,19,11
4,17,6
4,25,9
4,14,3
4,7,1
4,15,3
4,12,3
4,9,1
5,62,61
5,68,80
5,65,59
5,60,42
5,57,74
5,56,70
5,49,48
5,43,31
5,61,54
5,38,19
5,55,59
5,66,62
5,54,68
5,69,100
5,58,90
5,67,78
5,39,18
5,35,4
5,64,69
5,51,48
5,63,63
5,40,17
5,46,29
5,53,48
5,52,53
5,45,33
5,31,7
5,59,90
5,28,7
5,44,26
5,47,36
5,36,13
5,50,42
5,42,29
5,34,7
5,29,6
5,24,3
5,41,19
5,37,9
5,48,33
5,22,1
5,32,14
5,33,10
5,27,6
5,30,5
5,26,3
5,23,3
5,25,1
5,19,1
5,20,3
