Lottery,Category,Number,Count,Percentage
Mega Millions,Main Numbers,13,240,1.6563146997929608
Mega Millions,Main Numbers,22,256,1.7667356797791582
Mega Millions,Main Numbers,27,243,1.6770186335403725
Mega Millions,Main Numbers,29,264,1.8219461697722568
Mega Millions,Main Numbers,35,251,1.7322291235334712
Mega Millions,Main Numbers,2,258,1.7805383022774328
Mega Millions,Main Numbers,5,252,1.7391304347826086
Mega Millions,Main Numbers,30,235,1.621808143547274
Mega Millions,Main Numbers,46,268,1.8495514147688061
Mega Millions,Main Numbers,61,78,0.5383022774327122
Mega Millions,Main Numbers,44,247,1.7046238785369219
Mega Millions,Main Numbers,49,218,1.5044858523119393
Mega Millions,Main Numbers,53,175,1.2077294685990339
Mega Millions,Main Numbers,56,157,1.0835058661145618
Mega Millions,Main Numbers,8,245,1.6908212560386473
Mega Millions,Main Numbers,12,239,1.6494133885438234
Mega Millions,Main Numbers,34,213,1.4699792960662528
Mega Millions,Main Numbers,52,196,1.3526570048309179
Mega Millions,Main Numbers,58,92,0.6349206349206349
Mega Millions,Main Numbers,10,269,1.8564527260179435
Mega Millions,Main Numbers,14,261,1.8012422360248446
Mega Millions,Main Numbers,45,230,1.5873015873015872
Mega Millions,Main Numbers,47,230,1.5873015873015872
Mega Millions,Main Numbers,51,207,1.4285714285714286
Mega Millions,Main Numbers,21,239,1.6494133885438234
Mega Millions,Main Numbers,42,252,1.7391304347826086
Mega Millions,Main Numbers,4,260,1.7943409247757072
Mega Millions,Main Numbers,17,272,1.8771566597653555
Mega Millions,Main Numbers,32,246,1.6977225672877845
Mega Millions,Main Numbers,38,258,1.7805383022774328
Mega Millions,Main Numbers,1,236,1.6287094547964114
Mega Millions,Main Numbers,3,253,1.746031746031746
Mega Millions,Main Numbers,6,240,1.6563146997929608
Mega Millions,Main Numbers,33,227,1.5665976535541752
Mega Millions,Main Numbers,39,257,1.7736369910282954
Mega Millions,Main Numbers,43,230,1.5873015873015872
Mega Millions,Main Numbers,7,240,1.6563146997929608
Mega Millions,Main Numbers,63,71,0.48999309868875085
Mega Millions,Main Numbers,67,64,0.44168391994478956
Mega Millions,Main Numbers,24,257,1.7736369910282954
Mega Millions,Main Numbers,20,269,1.8564527260179435
Mega Millions,Main Numbers,25,249,1.7184265010351967
Mega Millions,Main Numbers,40,240,1.6563146997929608
Mega Millions,Main Numbers,18,241,1.6632160110420982
Mega Millions,Main Numbers,11,255,1.7598343685300208
Mega Millions,Main Numbers,62,83,0.5728088336783989
Mega Millions,Main Numbers,70,76,0.5244996549344375
