Lottery,Position,Number,Count,Percentage
Mega Millions,1,13,75,2.587991718426501
Mega Millions,1,2,239,8.247066942719117
Mega Millions,1,30,12,0.4140786749482402
Mega Millions,1,8,147,5.072463768115942
Mega Millions,1,10,123,4.244306418219462
Mega Millions,1,4,208,7.177363699102829
Mega Millions,1,1,236,8.143547273982056
Mega Millions,1,6,162,5.590062111801243
Mega Millions,1,3,227,7.832988267770877
Mega Millions,1,14,100,3.450655624568668
Mega Millions,1,12,92,3.1746031746031744
Mega Millions,1,11,121,4.175293305728088
Mega Millions,1,20,55,1.8978605935127675
Mega Millions,1,9,128,4.416839199447895
Mega Millions,1,18,55,1.8978605935127675
Mega Millions,1,21,41,1.4147688060731538
Mega Millions,1,17,67,2.3119392684610074
Mega Millions,1,23,30,1.0351966873706004
Mega Millions,1,7,159,5.486542443064183
Mega Millions,1,15,74,2.5534851621808143
Mega Millions,1,19,37,1.2767425810904072
Mega Millions,1,16,78,2.691511387163561
Mega Millions,1,27,22,0.759144237405107
Mega Millions,1,32,8,0.27605244996549344
Mega Millions,1,29,18,0.6211180124223602
Mega Millions,1,5,173,5.969634230503796
Mega Millions,1,25,37,1.2767425810904072
Mega Millions,1,28,22,0.759144237405107
Mega Millions,1,56,1,0.03450655624568668
Mega Millions,1,22,35,1.2077294685990339
Mega Millions,1,41,3,0.10351966873706005
Mega Millions,1,33,10,0.3450655624568668
Mega Millions,1,36,7,0.24154589371980675
Mega Millions,1,39,4,0.13802622498274672
Mega Millions,1,26,19,0.6556245686680469
Mega Millions,1,52,1,0.03450655624568668
Mega Millions,1,24,33,1.1387163561076603
Mega Millions,1,44,1,0.03450655624568668
Mega Millions,1,31,12,0.4140786749482402
Mega Millions,1,37,6,0.2070393374741201
Mega Millions,1,34,11,0.3795721187025535
Mega Millions,1,46,3,0.10351966873706005
Mega Millions,1,35,2,0.06901311249137336
Mega Millions,1,40,1,0.03450655624568668
Mega Millions,1,38,2,0.06901311249137336
Mega Millions,1,43,1,0.03450655624568668
Mega Millions,2,22,98,3.3816425120772946
Mega Millions,2,5,70,2.4154589371980677
Mega Millions,2,44,13,0.4485852311939268
Mega Millions,2,12,107,3.692201518288475
Mega Millions,2,14,100,3.450655624568668
Mega Millions,2,21,92,3.1746031746031744
Mega Millions,2,17,115,3.968253968253968
Mega Millions,2,3,25,0.862663906142167
Mega Millions,2,7,67,2.3119392684610074
Mega Millions,2,24,89,3.0710835058661146
Mega Millions,2,20,102,3.5196687370600417
Mega Millions,2,18,99,3.4161490683229814
Mega Millions,2,27,65,2.2429261559696343
Mega Millions,2,31,70,2.4154589371980677
Mega Millions,2,10,111,3.8302277432712217
Mega Millions,2,25,74,2.5534851621808143
Mega Millions,2,4,49,1.6908212560386473
Mega Millions,2,15,111,3.8302277432712217
Mega Millions,2,13,111,3.8302277432712217
Mega Millions,2,19,90,3.1055900621118013
Mega Millions,2,29,74,2.5534851621808143
Mega Millions,2,11,104,3.5886818495514143
Mega Millions,2,34,41,1.4147688060731538
Mega Millions,2,28,59,2.035886818495514
Mega Millions,2,32,52,1.7943409247757072
Mega Millions,2,30,62,2.139406487232574
Mega Millions,2,23,85,2.933057280883368
Mega Millions,2,8,80,2.7605244996549345
Mega Millions,2,16,99,3.4161490683229814
Mega Millions,2,36,27,0.9316770186335404
Mega Millions,2,37,33,1.1387163561076603
Mega Millions,2,38,29,1.000690131124914
Mega Millions,2,26,65,2.2429261559696343
Mega Millions,2,53,3,0.10351966873706005
Mega Millions,2,33,39,1.3457556935817805
Mega Millions,2,35,47,1.621808143547274
Mega Millions,2,6,68,2.346445824706694
Mega Millions,2,66,1,0.03450655624568668
Mega Millions,2,58,3,0.10351966873706005
Mega Millions,2,43,24,0.8281573498964804
Mega Millions,2,45,15,0.5175983436853002
Mega Millions,2,9,86,2.9675638371290542
Mega Millions,2,42,19,0.6556245686680469
Mega Millions,2,60,1,0.03450655624568668
Mega Millions,2,47,6,0.2070393374741201
Mega Millions,2,41,18,0.6211180124223602
