Lottery,Category,Combination,Count,Percentage
Mega Millions,Main Numbers Only,13 22 27 29 35,1,0.03450655624568668
Mega Millions,Main Numbers Only,2 5 30 46 61,1,0.03450655624568668
Mega Millions,Main Numbers Only,30 44 49 53 56,1,0.03450655624568668
Mega Millions,Main Numbers Only,8 12 34 52 58,1,0.03450655624568668
Mega Millions,Main Numbers Only,10 12 13 35 56,1,0.03450655624568668
Mega Millions,Main Numbers Only,10 14 45 47 51,1,0.03450655624568668
Mega Millions,Main Numbers Only,8 21 29 42 51,1,0.03450655624568668
Mega Millions,Main Numbers Only,4 17 32 38 46,1,0.03450655624568668
Mega Millions,Main Numbers Only,1 3 6 44 51,1,0.03450655624568668
Mega Millions,Main Numbers Only,6 21 33 39 43,1,0.03450655624568668
Mega Millions,Main Numbers Only,3 7 44 63 67,1,0.03450655624568668
Mega Millions,Main Numbers Only,4 24 45 46 52,1,0.03450655624568668
Mega Millions,Main Numbers Only,1 22 29 44 52,1,0.03450655624568668
Mega Millions,Main Numbers Only,14 20 25 40 44,1,0.03450655624568668
Mega Millions,Main Numbers Only,12 18 21 32 46,1,0.03450655624568668
Mega Millions,Main Numbers Only,11 27 30 62 70,1,0.03450655624568668
Mega Millions,Main Numbers Only,1 31 35 48 62,1,0.03450655624568668
Mega Millions,Main Numbers Only,4 10 18 28 62,1,0.03450655624568668
Mega Millions,Main Numbers Only,20 25 55 62 74,1,0.03450655624568668
Mega Millions,Main Numbers Only,2 5 29 35 51,1,0.03450655624568668
Mega Millions,Main Numbers Only,3 4 10 39 50,1,0.03450655624568668
Mega Millions,Main Numbers Only,9 15 21 22 29,1,0.03450655624568668
Mega Millions,Main Numbers Only,3 5 7 28 35,1,0.03450655624568668
Mega Millions,Main Numbers Only,3 5 8 31 38,1,0.03450655624568668
Mega Millions,Main Numbers Only,9 10 25 37 38,1,0.03450655624568668
Mega Millions,Main Numbers Only,10 13 32 40 41,1,0.03450655624568668
Mega Millions,Main Numbers Only,6 18 36 40 49,1,0.03450655624568668
Mega Millions,Main Numbers Only,2 19 22 28 54,1,0.03450655624568668
Mega Millions,Main Numbers Only,18 29 32 38 43,1,0.03450655624568668
Mega Millions,Main Numbers Only,21 29 30 32 42,1,0.03450655624568668
Mega Millions,Main Numbers Only,9 11 21 40 50,1,0.03450655624568668
Mega Millions,Main Numbers Only,3 7 37 49 55,1,0.03450655624568668
Mega Millions,Main Numbers Only,9 13 36 59 61,1,0.03450655624568668
Mega Millions,Main Numbers Only,17 34 40 63 64,1,0.03450655624568668
Mega Millions,Main Numbers Only,2 28 30 38 39,1,0.03450655624568668
Mega Millions,Main Numbers Only,4 15 35 48 49,1,0.03450655624568668
Mega Millions,Main Numbers Only,23 32 33 39 43,1,0.03450655624568668
Mega Millions,Main Numbers Only,11 24 27 49 55,1,0.03450655624568668
Mega Millions,Main Numbers Only,11 14 26 30 39,1,0.03450655624568668
Mega Millions,Main Numbers Only,10 30 33 35 36,1,0.03450655624568668
Mega Millions,Main Numbers Only,8 10 22 58 64,1,0.03450655624568668
Mega Millions,Main Numbers Only,10 12 20 38 41,1,0.03450655624568668
Mega Millions,Main Numbers Only,2 5 10 20 38,1,0.03450655624568668
Mega Millions,Main Numbers Only,6 19 29 33 37,1,0.03450655624568668
Mega Millions,Main Numbers Only,7 12 25 44 53,1,0.03450655624568668
Mega Millions,Main Numbers Only,1 10 17 20 29,1,0.03450655624568668
Mega Millions,Main Numbers Only,4 29 32 35 44,1,0.03450655624568668
Mega Millions,Main Numbers Only,1 18 40 41 49,1,0.03450655624568668
Mega Millions,Main Numbers Only,17 23 36 69 70,1,0.03450655624568668
Mega Millions,Main Numbers Only,2 8 42 43 50,1,0.03450655624568668
