Draw Date,Winning Numbers,Powerball Ball
12/31/2022,18 37 44 50 64,11
12/31/2016,1 3 28 57 67,9
12/31/2014,17 27 37 40 53,35
12/31/2011,5 23 25 28 40,34
12/31/2008,7 8 11 17 53,36
12/31/2005,4 30 37 43 46,42
12/31/2003,5 7 18 28 35,1
12/31/1997,4 5 6 14 27,6
12/31/1994,20 28 29 43 44,34
12/30/2024,9 19 33 38 39,1
12/30/2023,10 11 26 27 34,7
12/30/2020,3 43 45 61 65,14
12/30/2017,28 36 41 51 58,24
12/30/2015,12 36 38 54 61,22
12/30/2009,5 14 38 39 52,6
12/30/2006,9 23 28 31 36,26
12/30/2000,23 26 29 38 46,35
12/30/1998,10 20 34 38 46,3
12/30/1995,2 4 7 13 26,33
12/30/1992,1 11 18 30 41,12
12/29/2021,2 6 9 33 39,11
12/29/2018,12 42 51 53 62,25
12/29/2012,36 46 50 52 55,14
12/29/2010,3 16 18 20 37,30
12/29/2007,8 12 17 35 49,18
12/29/2004,24 29 33 38 44,7
12/29/2001,10 15 27 43 45,31
12/29/1999,3 11 14 16 43,10
12/29/1993,6 7 12 30 43,28
12/28/2019,20 23 39 59 60,18
12/28/2016,16 23 30 44 58,4
12/28/2013,8 35 44 51 56,18
12/28/2011,16 21 27 41 45,14
12/28/2005,12 15 30 46 54,1
12/28/2002,2 15 38 43 50,29
12/28/1996,3 11 21 22 31,13
12/28/1994,17 27 40 43 44,24
12/27/2017,3 9 16 56 60,3
12/27/2014,7 10 11 14 36,15
12/27/2008,12 15 26 31 43,10
12/27/2006,14 16 27 29 41,29
12/27/2003,16 17 32 34 43,31
12/27/2000,15 22 24 32 39,18
12/27/1997,9 14 15 36 48,17
12/27/1995,8 17 24 27 44,23
12/26/2020,10 24 27 35 53,18
12/26/2018,5 25 38 52 67,24
12/26/2015,27 40 44 59 65,20
12/26/2012,11 13 23 43 54,4
12/26/2009,32 36 37 41 53,30
12/26/2007,8 32 41 54 55,20
12/26/2001,8 19 23 39 41,21
12/26/1998,7 17 27 29 41,33
12/26/1992,6 12 17 18 42,17
12/25/2019,2 4 16 30 46,20
12/25/2013,23 28 38 39 56,32
12/25/2010,1 17 38 50 52,24
12/25/2004,29 32 39 45 53,16
12/25/2002,5 14 16 29 53,7
12/25/1999,6 19 29 39 44,28
12/25/1996,13 14 17 25 26,29
12/25/1993,6 8 20 26 36,29
12/24/2016,28 38 42 51 52,21
12/24/2014,11 12 46 47 50,22
12/24/2011,14 16 30 51 52,19
12/24/2008,2 17 22 32 41,8
12/24/2005,4 10 33 34 50,14
12/24/2003,1 6 31 34 44,25
12/24/1997,3 16 28 34 35,14
12/24/1994,11 20 22 31 34,31
12/23/2020,6 13 38 39 53,6
12/23/2017,1 3 13 15 44,25
12/23/2015,16 38 55 63 67,25
12/23/2009,8 32 49 51 52,23
12/23/2006,8 27 43 52 53,5
12/23/2000,6 11 15 22 27,27
12/23/1998,29 31 39 45 46,33
12/23/1995,3 7 10 42 43,38
12/23/1992,7 12 21 25 31,11
12/22/2018,21 28 30 40 59,26
12/22/2012,1 18 35 39 44,11
12/22/2010,11 33 44 46 47,12
12/22/2007,5 10 11 34 38,21
12/22/2004,2 7 11 24 31,18
12/22/2001,14 24 27 33 34,6
12/22/1999,11 13 23 42 43,18
12/22/1993,1 3 13 15 29,12
